State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Housholds_with_Electric_Lighting,sex_ratio,literacy_rate
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,5512,566108,100,54
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,8606,897970,97,56
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,13763,944555,99,63
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,22411,1297273,100,63
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,19383,1186028,100,60
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,149034,869721,95,73
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,8831,926768,100,58
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,8628,668519,101,58
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,30438,1163932,99,66
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,10081,816721,98,52
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,6153,757821,97,47
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,3033288,8635,604719,99,53
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,3488809,7715,789225,98,57
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,2551335,5261,545913,104,54
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,3397448,6151,763746,98,56
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,2703114,3988,615432,101,55
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,2344474,4453,527736,101,52
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,3512576,12952,828077,99,58
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,3936966,12050,1017568,100,67
Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,253,148226,170,14593,92,49
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,78690,57,5318,102,48
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,251,99214,450,14231,97,63
Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,256,92076,95,3911,103,39
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,259,145726,312,17157,91,56
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,54080,207,5932,92,58
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,83030,381,12493,98,65
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,248,176573,2477,30539,97,68
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,245,49977,96,8635,71,52
Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,254,111975,98,16026,94,42
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,252,35320,97,6198,88,51
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,249,83448,139,5373,99,54
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,83947,202,14188,81,57
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,112274,303,14204,93,57
Assam,Barpeta,26.427872264631056,90.97912010178116,303,1693622,2078,84804,95,52
Assam,Bongaigaon,26.45012521994133,90.6734296187684,319,738804,2523,49866,96,58
Assam,Cachar,24.815570668693017,92.86849650455927,316,1736617,5316,140205,95,67
Assam,Darrang,26.58463215962442,92.04141338028155,325,928500,1166,45444,95,52
Assam,Dhemaji,27.586533438485816,94.71336908517353,308,686133,1192,28195,95,61
Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,1326335,8817,136685,96,66
Assam,Goalpara,26.017277777777807,90.59869891598912,302,1008183,1364,78641,96,55
Assam,Golaghat,26.377219709794485,93.82583397823468,313,1066888,3073,82345,96,67
Assam,Hailakandi,24.457496089385486,92.59154664804475,318,659296,1211,44143,95,61
Assam,Jorhat,26.76244824016563,94.30197722567289,312,1092256,5651,122063,96,72
Assam,Kamrup,26.170939452054807,91.58863273972592,321,1517542,3109,122191,94,65
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,956313,1923,53918,95,58
Assam,Karimganj,24.69660712250711,92.3679498575498,317,1228686,1933,70951,96,64
Assam,Kokrajhar,26.497246635730868,90.13997470997688,300,887142,1218,41373,95,55
Assam,Lakhimpur,27.14128805970149,94.0775949253732,307,1042137,1948,60296,96,65
Assam,Nagaon,26.26462170626351,92.9306191144708,305,2823768,5121,195631,96,60
Assam,Nalbari,26.46323767605632,91.40598521126763,323,771639,1631,68313,94,68
Assam,Sonitpur,26.73514926829268,92.85197804878044,306,1924110,4358,133368,95,57
Assam,Tinsukia,27.53549291139241,95.69055949367085,309,1327929,5135,161718,95,60
Bihar,Araria,26.211528119180603,87.30766554934816,209,2811569,2561,43290,92,42
Bihar,Aurangabad,24.774291867469877,84.45986024096379,235,2540073,2362,44456,92,57
Bihar,Aurangabad,24.774291867469877,84.45986024096379,515,3701282,23258,589477,92,67
Bihar,Banka,24.832355642023337,86.8664916342413,225,2034763,1704,62359,90,47
Bihar,Begusarai,25.54302613168723,86.12560144032932,222,2970541,4644,120373,89,52
Bihar,Bhagalpur,25.277192885375477,87.04213814229242,224,3037766,6764,174534,88,51
Bihar,Bhojpur,25.50666439393939,84.49407803030304,231,2728407,3661,62153,90,58
Bihar,Buxar,25.48593018867924,84.08808081760995,232,1706352,1784,46760,92,58
Bihar,Darbhanga,26.146187719298258,85.97387352472099,215,3937385,6280,127442,91,46
Bihar,Gaya,24.7266541547278,84.94291217765044,236,4391418,6856,112617,93,52
Bihar,Gopalganj,26.44874364161851,84.34636127167629,217,2562012,3707,69375,102,53
Bihar,Jamui,24.78418380462726,86.26316298200514,238,1760405,1839,32633,92,48
Bihar,Jehanabad,25.155679045643165,84.9208124481328,239,1125313,1106,27641,92,54
Bihar,Katihar,25.56565356037151,87.70466083591326,212,3071029,2941,60900,91,41
Bihar,Khagaria,25.53558891454964,86.56593256351037,223,1666886,1580,40641,88,46
